,Request.id,Pickup.point,Driver.id,Status,Request.timestamp,Drop.timestamp,date,Request.hour,Request.timeslot,Supply,Demand,Duration
1,619,Airport,1,Trip Completed,7/11/16 11:51,7/11/16 13:00,7/11/16,11,Morning,supply,demand,69
2,867,Airport,1,Trip Completed,7/11/16 17:57,7/11/16 18:47,7/11/16,17,Evening,supply,demand,50
3,1807,City,1,Trip Completed,7/12/16 9:17,7/12/16 9:58,7/12/16,9,Morning,supply,demand,41
4,2532,Airport,1,Trip Completed,7/12/16 21:08,7/12/16 22:03,7/12/16,21,Night,supply,demand,55
5,3112,City,1,Trip Completed,7/13/16 8:33,7/13/16 9:25,7/13/16,8,Morning,supply,demand,52
6,3879,Airport,1,Trip Completed,7/13/16 21:57,7/13/16 22:28,7/13/16,21,Night,supply,demand,31
7,4270,Airport,1,Trip Completed,7/14/16 6:15,7/14/16 7:13,7/14/16,6,Early Morning,supply,demand,57
8,5510,Airport,1,Trip Completed,7/15/16 5:11,7/15/16 6:07,7/15/16,5,Early Morning,supply,demand,56
9,6248,City,1,Trip Completed,7/15/16 17:57,7/15/16 18:50,7/15/16,17,Evening,supply,demand,53
10,267,City,2,Trip Completed,7/11/16 6:46,7/11/16 7:25,7/11/16,6,Early Morning,supply,demand,39
11,1467,Airport,2,Trip Completed,7/12/16 5:08,7/12/16 6:02,7/12/16,5,Early Morning,supply,demand,54
12,1983,City,2,Trip Completed,7/12/16 12:30,7/12/16 12:57,7/12/16,12,Morning,supply,demand,27
13,2784,Airport,2,Trip Completed,7/13/16 4:49,7/13/16 5:23,7/13/16,4,Early Morning,supply,demand,33
14,3075,City,2,Trip Completed,7/13/16 8:02,7/13/16 9:16,7/13/16,8,Morning,supply,demand,73
15,3379,City,2,Trip Completed,7/13/16 14:23,7/13/16 15:35,7/13/16,14,Afternoon,supply,demand,72
16,3482,Airport,2,Trip Completed,7/13/16 17:23,7/13/16 18:20,7/13/16,17,Evening,supply,demand,57
17,4652,City,2,Trip Completed,7/14/16 12:01,7/14/16 12:36,7/14/16,12,Morning,supply,demand,35
18,5335,Airport,2,Trip Completed,7/14/16 22:24,7/14/16 23:18,7/14/16,22,Night,supply,demand,54
19,535,Airport,3,Trip Completed,7/11/16 10:00,7/11/16 10:31,7/11/16,10,Morning,supply,demand,31
20,960,Airport,3,Trip Completed,7/11/16 18:45,7/11/16 19:23,7/11/16,18,Evening,supply,demand,38
21,1934,Airport,3,Trip Completed,7/12/16 11:17,7/12/16 12:23,7/12/16,11,Morning,supply,demand,66
22,2083,Airport,3,Trip Completed,7/12/16 15:46,7/12/16 16:40,7/12/16,15,Afternoon,supply,demand,54
23,2211,Airport,3,Trip Completed,7/12/16 18:00,7/12/16 18:28,7/12/16,18,Evening,supply,demand,28
24,3096,Airport,3,Trip Completed,7/13/16 8:17,7/13/16 9:22,7/13/16,8,Morning,supply,demand,65
25,3881,Airport,3,Trip Completed,7/13/16 21:54,7/13/16 22:51,7/13/16,21,Night,supply,demand,57
26,5254,City,3,Trip Completed,7/14/16 21:23,7/14/16 22:25,7/14/16,21,Night,supply,demand,62
27,5434,City,3,Trip Completed,7/15/16 2:41,7/15/16 3:24,7/15/16,2,Late Night,supply,demand,43
28,5916,City,3,Trip Completed,7/15/16 10:00,7/15/16 10:53,7/15/16,10,Morning,supply,demand,52
29,669,City,4,Trip Completed,7/11/16 13:08,7/11/16 13:49,7/11/16,13,Afternoon,supply,demand,41
30,1567,Airport,4,Trip Completed,7/12/16 6:21,7/12/16 7:10,7/12/16,6,Early Morning,supply,demand,49
31,1826,City,4,Trip Completed,7/12/16 9:27,7/12/16 10:27,7/12/16,9,Morning,supply,demand,60
32,2102,City,4,Trip Completed,7/12/16 16:09,7/12/16 17:01,7/12/16,16,Afternoon,supply,demand,52
33,2847,Airport,4,Trip Completed,7/13/16 5:34,7/13/16 6:09,7/13/16,5,Early Morning,supply,demand,35
34,3722,Airport,4,Trip Completed,7/13/16 19:57,7/13/16 20:32,7/13/16,19,Evening,supply,demand,34
35,4075,City,4,Trip Completed,7/14/16 2:17,7/14/16 3:21,7/14/16,2,Late Night,supply,demand,64
36,4686,City,4,Trip Completed,7/14/16 13:01,7/14/16 13:45,7/14/16,13,Afternoon,supply,demand,44
37,5771,Airport,4,Trip Completed,7/15/16 8:30,7/15/16 9:37,7/15/16,8,Morning,supply,demand,67
38,6106,Airport,4,Trip Completed,7/15/16 15:01,7/15/16 15:47,7/15/16,15,Afternoon,supply,demand,46
39,312,City,5,Trip Completed,7/11/16 7:27,7/11/16 8:31,7/11/16,7,Early Morning,supply,demand,64
40,577,Airport,5,Trip Completed,7/11/16 11:03,7/11/16 12:01,7/11/16,11,Morning,supply,demand,58
41,1179,City,5,Trip Completed,7/11/16 20:58,7/11/16 21:45,7/11/16,20,Evening,supply,demand,47
42,1756,Airport,5,Trip Completed,7/12/16 8:40,7/12/16 9:23,7/12/16,8,Morning,supply,demand,43
43,2052,City,5,Trip Completed,7/12/16 14:48,7/12/16 15:50,7/12/16,14,Afternoon,supply,demand,62
44,2559,City,5,Trip Completed,7/12/16 21:32,7/12/16 22:29,7/12/16,21,Night,supply,demand,57
45,3014,City,5,Trip Completed,7/13/16 7:28,7/13/16 8:29,7/13/16,7,Early Morning,supply,demand,61
46,3317,City,5,Trip Completed,7/13/16 12:14,7/13/16 12:46,7/13/16,12,Morning,supply,demand,32
47,4297,City,5,Trip Completed,7/14/16 6:43,7/14/16 7:49,7/14/16,6,Early Morning,supply,demand,66
48,5857,Airport,5,Trip Completed,7/15/16 9:08,7/15/16 10:07,7/15/16,9,Morning,supply,demand,58
49,6690,Airport,5,Trip Completed,7/15/16 22:41,7/15/16 23:51,7/15/16,22,Night,supply,demand,69
50,1517,Airport,6,Trip Completed,7/12/16 5:45,7/12/16 6:28,7/12/16,5,Early Morning,supply,demand,43
51,1999,Airport,6,Trip Completed,7/12/16 13:02,7/12/16 13:51,7/12/16,13,Afternoon,supply,demand,49
52,2960,Airport,6,Trip Completed,7/13/16 6:50,7/13/16 7:40,7/13/16,6,Early Morning,supply,demand,50
53,3882,City,6,Trip Completed,7/13/16 21:53,7/13/16 22:45,7/13/16,21,Night,supply,demand,52
54,4081,Airport,6,Trip Completed,7/14/16 2:37,7/14/16 3:30,7/14/16,2,Late Night,supply,demand,53
55,4740,City,6,Trip Completed,7/14/16 14:50,7/14/16 15:38,7/14/16,14,Afternoon,supply,demand,48
56,5270,City,6,Trip Completed,7/14/16 21:33,7/14/16 22:25,7/14/16,21,Night,supply,demand,51
57,6758,Airport,6,Trip Completed,7/15/16 0:03,7/15/16 1:07,7/15/16,0,Late Night,supply,demand,64
58,5741,City,6,Trip Completed,7/15/16 7:52,7/15/16 8:38,7/15/16,7,Early Morning,supply,demand,46
59,6087,Airport,6,Trip Completed,7/15/16 14:28,7/15/16 15:33,7/15/16,14,Afternoon,supply,demand,65
60,1039,City,7,Trip Completed,7/11/16 19:31,7/11/16 20:41,7/11/16,19,Evening,supply,demand,70
61,1273,Airport,7,Trip Completed,7/11/16 22:07,7/11/16 23:12,7/11/16,22,Night,supply,demand,65
62,2480,City,7,Trip Completed,7/12/16 20:39,7/12/16 21:28,7/12/16,20,Evening,supply,demand,49
63,4105,City,7,Trip Completed,7/14/16 3:39,7/14/16 4:39,7/14/16,3,Late Night,supply,demand,59
64,4509,City,7,Trip Completed,7/14/16 9:11,7/14/16 10:17,7/14/16,9,Morning,supply,demand,65
65,4986,Airport,7,Trip Completed,7/14/16 18:52,7/14/16 19:50,7/14/16,18,Evening,supply,demand,58
66,5898,City,7,Trip Completed,7/15/16 9:50,7/15/16 10:40,7/15/16,9,Morning,supply,demand,50
67,6142,Airport,7,Trip Completed,7/15/16 15:50,7/15/16 16:36,7/15/16,15,Afternoon,supply,demand,46
68,380,Airport,8,Trip Completed,7/11/16 8:18,7/11/16 9:18,7/11/16,8,Morning,supply,demand,60
69,1050,Airport,8,Trip Completed,7/11/16 19:39,7/11/16 20:30,7/11/16,19,Evening,supply,demand,51
70,1769,City,8,Trip Completed,7/12/16 8:57,7/12/16 9:24,7/12/16,8,Morning,supply,demand,27
71,2520,City,8,Trip Completed,7/12/16 21:05,7/12/16 22:20,7/12/16,21,Night,supply,demand,75
72,3265,Airport,8,Trip Completed,7/13/16 10:22,7/13/16 11:07,7/13/16,10,Morning,supply,demand,44
73,4648,City,8,Trip Completed,7/14/16 11:55,7/14/16 12:59,7/14/16,11,Morning,supply,demand,64
74,449,Airport,9,Trip Completed,7/11/16 9:08,7/11/16 9:52,7/11/16,9,Morning,supply,demand,44
75,846,Airport,9,Trip Completed,7/11/16 17:46,7/11/16 18:52,7/11/16,17,Evening,supply,demand,66
76,1346,Airport,9,Trip Completed,7/11/16 23:39,7/12/16 0:23,7/11/16,23,Night,supply,demand,44
77,1474,Airport,9,Trip Completed,7/12/16 5:13,7/12/16 5:56,7/12/16,5,Early Morning,supply,demand,43
78,2240,City,9,Trip Completed,7/12/16 18:20,7/12/16 18:54,7/12/16,18,Evening,supply,demand,34
79,3072,Airport,9,Trip Completed,7/13/16 8:04,7/13/16 8:36,7/13/16,8,Morning,supply,demand,31
80,3459,Airport,9,Trip Completed,7/13/16 17:03,7/13/16 17:31,7/13/16,17,Evening,supply,demand,28
81,3774,Airport,9,Trip Completed,7/13/16 20:41,7/13/16 21:27,7/13/16,20,Evening,supply,demand,46
82,4023,City,9,Trip Completed,7/13/16 23:58,7/14/16 0:58,7/13/16,23,Night,supply,demand,59
83,4117,City,9,Trip Completed,7/14/16 4:21,7/14/16 5:07,7/14/16,4,Early Morning,supply,demand,45
84,4880,Airport,9,Trip Completed,7/14/16 17:58,7/14/16 19:02,7/14/16,17,Evening,supply,demand,63
85,5568,Airport,9,Trip Completed,7/15/16 5:47,7/15/16 6:25,7/15/16,5,Early Morning,supply,demand,38
86,5994,Airport,9,Trip Completed,7/15/16 11:51,7/15/16 12:32,7/15/16,11,Morning,supply,demand,40
87,1809,Airport,10,Trip Completed,7/12/16 9:13,7/12/16 10:01,7/12/16,9,Morning,supply,demand,48
88,2064,Airport,10,Trip Completed,7/12/16 15:08,7/12/16 16:14,7/12/16,15,Afternoon,supply,demand,66
89,3210,City,10,Trip Completed,7/13/16 9:47,7/13/16 10:52,7/13/16,9,Morning,supply,demand,65
90,4350,City,10,Trip Completed,7/14/16 7:24,7/14/16 8:22,7/14/16,7,Early Morning,supply,demand,57
91,4713,City,10,Trip Completed,7/14/16 13:31,7/14/16 14:10,7/14/16,13,Afternoon,supply,demand,39
92,5629,Airport,10,Trip Completed,7/15/16 6:33,7/15/16 7:19,7/15/16,6,Early Morning,supply,demand,46
93,6157,Airport,10,Trip Completed,7/15/16 16:32,7/15/16 17:44,7/15/16,16,Afternoon,supply,demand,71
94,2030,City,11,Trip Completed,7/12/16 14:11,7/12/16 15:02,7/12/16,14,Afternoon,supply,demand,51
95,3226,City,11,Trip Completed,7/13/16 10:00,7/13/16 11:02,7/13/16,10,Morning,supply,demand,62
